"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"864",50,70,74,50,50,64,50,50,40,50,74,29,84
"865",95,74,96,69,76,100,100,99,48,95,86,56,72
"866",90,89,83,88,91,91,89,88,67,73,89,72,69
"867",100,100,100,82,100,94,100,99,100,74,83,100,94
"868",87,85,100,63,80,100,75,100,51,95,66,21,70
"869",92,95,91,58,74,89,94,95,94,75,70,63,86
"870",95,95,93,49,NA,51,88,87,93,NA,94,88,92
"871",100,100,100,96,99,100,100,100,98,100,100,93,82
"872",52,2,9,1,51,52,51,51,NA,1,3,NA,3
"873",100,100,97,100,100,100,83,96,100,100,94,92,100
"874",90,95,87,89,89,95,72,81,58,68,70,59,44
"875",67,60,46,78,41,47,40,85,60,91,61,33,36
"876",NA,NA,NA,100,100,NA,NA,100,100,73,100,60,100
"877",100,96,100,83,100,100,100,100,92,100,91,68,91
"878",99,90,100,96,98,100,97,100,91,60,100,82,99
"879",50,50,NA,6,6,50,29,27,50,50,50,NA,50
"880",51,50,50,88,87,75,58,69,50,NA,50,50,51
"881",1,1,1,23,24,31,30,29,39,21,16,19,2
"882",50,50,50,95,95,99,59,99,99,99,96,97,99
"883",57,62,60,69,55,57,54,57,71,57,60,57,66
"884",87,88,91,79,82,92,84,87,83,73,85,90,31
"885",100,100,NA,100,100,100,100,100,100,100,100,100,100
"886",26,46,33,27,50,55,34,44,80,94,94,8,22
"887",49,69,52,70,69,89,55,87,56,78,51,52,82
"888",100,100,99,99,98,86,96,94,92,100,100,99,96
"889",62,62,69,75,77,78,79,66,68,59,67,71,65
"890",82,91,93,54,44,96,94,91,92,92,64,92,92
"891",100,100,100,100,100,100,100,100,100,100,100,100,100
"892",95,100,99,96,100,98,97,100,85,93,91,93,97
"893",100,100,100,100,100,100,100,100,100,100,100,100,100
"894",100,100,89,68,88,100,92,76,71,80,100,70,74
"895",100,100,97,100,100,100,100,100,98,100,100,100,93
"896",91,78,82,29,36,98,98,98,80,93,56,39,60
"897",35,30,37,33,33,33,31,37,30,34,28,34,32
"898",100,100,100,100,100,100,100,100,100,100,100,100,100
"899",100,100,100,100,100,100,100,100,100,100,100,100,100
"900",92,78,81,91,80,98,82,81,61,79,87,50,69
"901",55,59,67,50,50,65,50,50,44,50,73,50,38
"902",100,100,100,93,97,100,90,100,100,100,100,92,74
"903",97,95,97,76,74,98,98,96,77,82,87,76,68
"904",90,97,88,92,89,81,60,78,97,97,97,89,84
"905",70,51,100,51,51,74,82,87,51,51,49,50,50
"906",59,3,NA,1,1,NA,NA,25,20,NA,NA,32,31
"907",100,100,100,100,100,100,100,100,98,100,92,100,100
"908",75,67,97,74,71,59,76,65,82,71,69,94,60
"909",100,100,100,100,100,100,100,100,100,100,100,100,86
"910",100,100,100,88,100,100,100,100,61,100,93,100,83
"911",96,96,93,94,92,91,49,75,88,71,91,55,89
"912",100,100,100,100,100,100,100,100,100,100,100,89,100
"913",91,90,78,81,75,55,86,59,85,90,88,72,60
"914",73,68,71,71,77,64,72,65,66,67,64,73,60
"915",100,99,100,99,72,100,NA,100,100,100,100,100,100
