"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44"
"105",5,4,5,3,3,2,5,1,4,5,5,4,5,5,5,5,3,1,4,5,1,3,1,2,2,5,5,5,2,2,1,4,5,5,4,5,4,5,2,5,1,4,1,1
"106",5,1,5,1,5,2,4,4,5,5,5,1,5,2,4,5,4,3,2,5,1,5,2,5,4,5,1,5,2,2,2,5,5,5,2,5,1,5,1,4,2,5,1,2
"107",4,3,3,2,2,4,4,4,2,5,4,2,4,4,4,2,3,5,4,2,3,4,4,3,1,4,1,1,4,4,4,4,2,2,1,4,4,2,4,4,3,2,4,3
"108",5,4,4,4,4,3,4,4,3,4,5,2,4,4,4,5,4,1,4,5,3,4,4,3,4,3,2,4,5,5,5,4,4,3,2,5,4,3,4,4,2,4,4,4
"109",5,2,3,1,3,2,5,4,2,4,4,1,5,4,5,5,4,3,3,5,2,5,3,2,2,4,1,2,2,3,2,5,3,3,4,5,2,3,3,3,2,4,2,3
"110",5,4,4,2,3,2,4,3,4,5,5,2,4,3,4,5,4,1,4,2,2,5,4,3,2,4,1,3,5,2,3,4,4,3,2,5,4,5,3,3,4,5,5,2
"111",4,3,5,1,3,4,5,4,2,4,4,1,5,4,4,4,5,2,5,3,4,5,1,5,3,3,1,5,4,4,4,5,5,4,2,4,1,5,4,3,3,5,3,2
"112",4,4,5,4,4,2,4,4,2,4,2,3,5,4,4,2,5,1,2,4,4,5,2,3,4,4,4,3,4,5,2,4,5,2,4,3,2,5,2,4,4,4,2,4
"113",5,1,5,1,4,1,5,1,5,4,5,1,5,3,3,5,5,1,1,3,1,5,4,4,3,4,1,5,4,3,4,5,5,5,3,5,1,5,1,3,3,5,1,1
"114",4,2,5,1,4,2,5,3,4,5,5,1,5,3,3,5,5,2,1,5,2,5,2,5,5,5,1,5,2,5,2,5,5,5,3,5,1,3,3,5,1,5,2,4
"115",4,3,4,2,3,4,4,4,3,2,3,2,4,5,2,4,5,4,5,2,3,5,2,2,2,4,2,4,5,2,4,5,4,3,1,5,4,4,4,4,3,4,5,1
"116",5,2,4,1,3,1,4,3,4,4,4,2,4,2,3,4,4,4,2,3,1,4,2,4,3,4,1,4,2,2,1,4,4,3,3,5,2,4,1,4,4,4,3,1
"117",4,4,3,3,4,3,4,4,2,4,4,2,4,4,4,4,2,2,5,2,2,2,2,2,2,2,1,3,4,3,1,4,4,4,3,4,2,4,4,4,4,4,5,2
"118",4,2,4,3,4,3,4,1,2,4,5,1,5,2,3,5,5,4,3,4,2,5,3,5,3,4,1,4,3,5,3,5,3,3,4,5,1,3,2,4,4,4,3,5
"119",2,2,5,1,4,2,5,1,2,3,4,2,5,3,3,4,3,1,1,4,3,5,1,3,2,3,1,4,4,4,4,5,5,4,2,4,2,4,2,2,3,4,1,3
"120",4,3,4,2,4,4,4,4,2,4,4,3,5,2,1,4,5,3,4,4,4,5,3,3,4,4,1,4,4,3,4,5,4,3,4,4,2,4,4,2,3,4,2,2
"121",4,4,4,4,4,3,3,3,2,5,4,3,4,4,5,3,4,4,4,5,3,1,4,3,5,4,4,3,4,5,4,5,3,3,3,4,2,3,3,4,2,4,3,4
"122",4,2,4,1,4,3,4,3,3,4,4,1,4,2,4,5,5,3,1,4,2,5,4,4,4,3,2,4,4,5,2,5,4,4,5,4,1,4,3,4,2,5,4,4
"123",4,2,4,4,3,2,4,3,3,4,4,2,4,4,3,2,4,2,4,2,3,4,2,2,3,2,1,3,4,4,2,4,4,2,4,3,2,4,4,4,2,4,3,4
