,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_simple
0,2010-01-04 00:00:00-06:00,32120.740234375,32758.529296875,32120.740234375,32758.529296875,136257800,0.0,0.0,2010-01-04
1,2010-01-05 00:00:00-06:00,32729.30078125,33073.7109375,32628.240234375,32732.759765625,165541900,0.0,0.0,2010-01-05
2,2010-01-06 00:00:00-06:00,32730.419921875,32922.12109375,32639.439453125,32830.16015625,126000100,0.0,0.0,2010-01-06
3,2010-01-07 00:00:00-06:00,32830.21875,33069.78125,32670.98046875,33064.5703125,123563200,0.0,0.0,2010-01-07
4,2010-01-08 00:00:00-06:00,33067.5703125,33080.05078125,32779.66015625,32892.0390625,109516900,0.0,0.0,2010-01-08
5,2010-01-11 00:00:00-06:00,32892.109375,33047.23046875,32711.0390625,32935.37890625,150332200,0.0,0.0,2010-01-11
6,2010-01-12 00:00:00-06:00,32950.33984375,32976.609375,32719.619140625,32792.66015625,139205800,0.0,0.0,2010-01-12
7,2010-01-13 00:00:00-06:00,32792.87109375,32929.3203125,32607.939453125,32836.078125,143683200,0.0,0.0,2010-01-13
8,2010-01-14 00:00:00-06:00,32843.55859375,32847.9296875,32429.669921875,32729.580078125,447963200,0.0,0.0,2010-01-14
9,2010-01-15 00:00:00-06:00,32725.41015625,32728.41015625,32262.099609375,32262.30078125,318270300,0.0,0.0,2010-01-15
10,2010-01-18 00:00:00-06:00,32262.529296875,32491.48046875,32262.529296875,32482.73046875,32108200,0.0,0.0,2010-01-18
11,2010-01-19 00:00:00-06:00,32493.359375,32618.009765625,32367.859375,32473.05078125,213255300,0.0,0.0,2010-01-19
12,2010-01-20 00:00:00-06:00,32466.0390625,32466.0390625,31946.76953125,32025.33984375,215329000,0.0,0.0,2010-01-20
13,2010-01-21 00:00:00-06:00,32033.849609375,32151.80078125,31181.720703125,31205.30078125,243330800,0.0,0.0,2010-01-21
14,2010-01-22 00:00:00-06:00,31203.099609375,31212.55078125,30612.060546875,30830.91015625,210227600,0.0,0.0,2010-01-22
15,2010-01-25 00:00:00-06:00,30831.400390625,31080.98046875,30465.060546875,30465.060546875,196961600,0.0,0.0,2010-01-25
16,2010-01-26 00:00:00-06:00,30461.859375,30764.759765625,30209.08984375,30651.560546875,183139500,0.0,0.0,2010-01-26
17,2010-01-27 00:00:00-06:00,30629.7890625,30677.0390625,30082.76953125,30610.830078125,306309200,0.0,0.0,2010-01-27
18,2010-01-28 00:00:00-06:00,30620.58984375,30926.05078125,30334.669921875,30811.349609375,202374700,0.0,0.0,2010-01-28
19,2010-01-29 00:00:00-06:00,30811.470703125,31002.7890625,30343.05078125,30391.609375,241668900,0.0,0.0,2010-01-29
20,2010-02-02 00:00:00-06:00,30416.640625,30922.029296875,30416.640625,30876.650390625,183848300,0.0,0.0,2010-02-02
21,2010-02-03 00:00:00-06:00,30869.990234375,31396.900390625,30763.640625,31287.0390625,212362200,0.0,0.0,2010-02-03
22,2010-02-04 00:00:00-06:00,31285.529296875,31285.529296875,30530.41015625,30603.7109375,182901900,0.0,0.0,2010-02-04
23,2010-02-05 00:00:00-06:00,30603.880859375,30630.73046875,29926.060546875,30630.73046875,202078000,0.0,0.0,2010-02-05
24,2010-02-08 00:00:00-06:00,30633.380859375,30778.01953125,30528.9609375,30649.439453125,147957200,0.0,0.0,2010-02-08
25,2010-02-09 00:00:00-06:00,30649.55078125,30998.1796875,30649.55078125,30818.48046875,184952300,0.0,0.0,2010-02-09
